"15","10","52"
"6","0","9"
"4","32","7.5"
"10","6","10.5"
"12","5","8.5"
"0","0","7.5"
"10","93","43"
"16","0","12"
"34","14","15"
"9","22","16.5"
"36","5","7.5"
"53","58","4.5"
"3","2","9.5"
"4","22","20"
"11","11","3.5"
"0","4","6"
"10","88","21.5"
"55","12","16.5"
"6","28","14"
"22","0","9.5"
"19","11","6"
"0","0","4"
"9","1","7"
"0","5","4.5"
"12","2","7"
"9","9","5"
"10","10","3.5"
"6","6","6.5"
"14","39","7"
"10","22","13"
"3","0","8.5"
"5","0","6"
"9","0","7"
"1","0","10"
"10","0","7"
"0","39","13.5"
"11","2","20"
"28","16","5"
"0","3","9"
"28","0","6.5"
"6","6","5"
"39","10","22.5"
"2","6","12"
"0","2","10"
"2","4","6"
"43","6","27"
"1","37","8"
"9","38","4.5"
"11","0","11"
"35","35","19"
"10","14","21.5"
"0","0","5"
"2","16","9.5"
"10","15","52"
"6","0","12.5"
"10","22","8.5"
"11","11","6.5"
"39","0","14"
"7","25","16.5"
"28","74","32.5"
"38","10","20"
"2","1","6.5"
"6","22","8"
"39","4","12"
"6","0","10"
"9","2","5.5"
"10","22","9.5"
"12","10","7"
"16","14","8.5"
"6","6","4.5"
"10","10","5.5"
"7","94","29"
"6","6","3.5"
"0","0","3"
"0","6","8"
"9","5","7"
"9","2","5"
"4","12","8"
"0","6","5"
"0","2","6"
"16","21","19.5"
"0","83","17.5"
"38","12","14.5"
"6","0","6"
"6","0","12"
"12","12","5"
"6","0","7.5"
"2","12","5.5"
"10","3","19.5"
"10","0","7.5"
"38","0","9.5"
"6","10","8"
"2","8","6"
