"(38, 37)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(38, 38)","['5', '9']","(0.99999971334842808, 1.6431300764452317e-13)"
"(38, 42)",['8.5'],"(1.0, 0.0)"
"(38, 55)",['10'],"(1.0, 0.0)"
"(38, 62)",['20.5'],"(1.0, 0.0)"
"(38, 63)",['29.5'],"(1.0, 0.0)"
"(38, 72)",['42.5'],"(1.0, 0.0)"
"(38, 75)","['15.5', '13.5']","(1.0, 0.0)"
"(38, 87)",['23'],"(1.0, 0.0)"
"(38, 89)",['37'],"(1.0, 0.0)"
"(39, 0)","['21.5', '14']","(1.0, 0.0)"
"(39, 2)","['7.5', '9']","(0.99999999999996814, 0.0)"
"(39, 4)","['16.5', '12']","(1.0, 0.0)"
"(39, 9)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(39, 10)",['22.5'],"(1.0, 0.0)"
"(39, 16)","['7', '6']","(0.9999999990134123, 0.0)"
